id,rank,title_cn,title_en,rating,rating_count,director,actors,summary,detail_url,release_year,runtime,genre,imdb_rating,poster_path,created_at
45,45,少年派的奇幻漂流,Life of Pi,9.1,1491003,李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,导演: 李安 Ang Lee   苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/,2012,127分钟,剧情 / 奇幻 / 冒险,6.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\045_少年派的奇幻漂流.jpg,2026-05-13 14:52:19
46,46,钢琴家,The Pianist,9.3,751192,罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...,导演: 罗曼·波兰斯基 Roman Polanski   艾德里安·布洛迪 Adrien Brod...,,https://movie.douban.com/subject/1296736/,2002,149分钟,剧情 / 音乐 / 传记 / 战争,4.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\046_钢琴家.jpg,2026-05-13 14:52:19
47,47,指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,9.2,858388,彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,导演: 彼得·杰克逊 Peter Jackson   伊利亚·伍德 Elijah Wood / 西恩...,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/,2003,180分钟,剧情 / 动作 / 奇幻 / 冒险,1.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\047_指环王2：双塔奇兵.jpg,2026-05-13 14:52:19
48,48,死亡诗社,Dead Poets Society,9.2,885009,彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,导演: 彼得·威尔 Peter Weir   罗宾·威廉姆斯 Robin Williams / 罗伯...,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/,1989,128 分钟,剧情,5.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\048_死亡诗社.jpg,2026-05-13 14:52:19
49,49,大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,9.0,1367096,刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,导演: 刘镇伟 Jeffrey Lau   周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,,https://movie.douban.com/subject/1299398/,2014,88分钟,喜剧 / 爱情 / 奇幻 / 古装,8.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\049_大话西游之月光宝盒.jpg,2026-05-13 14:52:19
50,50,绿皮书,Green Book,8.9,1895114,彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen /...,导演: 彼得·法雷里 Peter Farrelly   维果·莫腾森 Viggo Mortensen /...,去除成见，需要勇气。,https://movie.douban.com/subject/27060077/,2019,130分钟,剧情 / 喜剧 / 音乐 / 传记,2.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\050_绿皮书.jpg,2026-05-13 14:52:19
51,51,何以为家,كفرناحوم,9.1,1163589,娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea / ...,导演: 娜丁·拉巴基 Nadine Labaki   扎因·拉费阿 Zain al-Rafeea / ...,凝视卑弱生命，用电影改变命运。,https://movie.douban.com/subject/30170448/,2019,126分钟,剧情,4.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\051_何以为家.jpg,2026-05-13 14:52:19
52,52,闻香识女人,Scent of a Woman,9.1,1024613,马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...,导演: 马丁·布莱斯 Martin Brest   阿尔·帕西诺 Al Pacino / 克里斯...,,https://movie.douban.com/subject/1298624/,1992,157 分钟,剧情,3.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\052_闻香识女人.jpg,2026-05-13 14:52:19
53,53,大闹天宫,,9.4,510652,万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,导演: 万籁鸣 Laiming Wan   邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,,https://movie.douban.com/subject/1418019/,1961,113分钟,剧情 / 动画 / 奇幻 / 古装,5.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\053_大闹天宫.jpg,2026-05-13 14:52:19
54,54,黑客帝国,The Matrix,9.1,951844,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,,,https://movie.douban.com/subject/1291843/,2000,136分钟,动作 / 科幻,3.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\054_黑客帝国.jpg,2026-05-13 14:52:19
