关键词,词频
电影,1108
就是,530
我们,528
故事,472
不是,425
还是,378
喜欢,334
世界,331
他们,297
这部,287
时候,279
看到,263
生活,263
知道,233
那个,226
其实,220
片子,215
一样,204
只是,199
导演,198
孩子,197
这么,190
爱情,184
影片,182
人生,181
真是,181
这种,181
不会,171
还有,167
一种,162
